GeneNames,D1,D2,D3,D4,D5,L1,L2,L3,L4,L5,U1,U2,U3,U4,U5
C17orf100,1.879866012,0.844919296,1.818351171,2.282335928,4.537911359,4.19783128,2.817665045,2.711801657,4.050338573,4.035736085,0.823300717,0.495027632,0.919239545,0.607406978,1.000914028
C17orf103,4.994058002,2.982232561,3.237243244,5.250319361,4.920964611,5.449408425,1.770472828,1.943769556,2.911586867,3.715064719,0.495211311,0.665300067,0.684565195,0.791596638,2.01779091
C17orf104,0.144512382,0.093819742,0.129798969,0.06911736,0.157935408,0.196647204,0.134088517,0.135503166,0.171333003,0.128036479,0.168773941,0.247355153,0.153108381,0.112410669,0.166712069
C17orf105,0,0,0.122422244,0,0,0,0.252936017,0,0,0.241519839,0,0,0.24755475,0,0.117928127
C17orf107,0.14629417,0.071232381,0.032849836,0.069969554,0.068521156,0.066357266,0.101806336,0.137173874,0.097563083,0.064807562,0,0,0,0.102416989,0.03164392
C17orf47,0.052994668,0,0,0.101385127,0,0.04807548,0,0,0,0.046952728,0,0,0,0.049467036,0
C17orf50,0.218660831,0,0.098199026,0.104581069,0,0.099181907,0,0,0,0,0,0,0,0,0
C17orf51,5.627434908,5.410761933,5.822251515,6.909290022,7.033178786,5.311860534,7.957861966,8.789894462,5.611957085,5.276164493,6.688669969,5.852487952,7.814432398,8.005594621,7.765638675
C17orf53,7.114782096,7.170238361,6.018861535,5.341693979,2.828679053,9.231233174,8.405504739,10.6274263,10.96091099,9.785275972,3.405827152,2.584294022,3.305696241,4.671993673,2.362111193
C17orf58,4.684640527,2.526654441,4.142944064,3.998554198,6.008700796,13.20704754,9.629681707,17.16488956,16.91858633,13.28173803,4.355856848,6.538147079,8.966657822,5.852829681,7.54521345
C17orf59,5.418081795,3.498388197,3.120871755,4.112374607,4.965098823,8.868645085,5.464422308,6.184721313,7.278967168,7.200546788,3.610915812,4.33453074,4.813349026,2.363795516,4.280162535
C17orf61-PLSCR3,0,0,0,0.052622295,0.051532992,0,0,0,0,0.097480189,0,0,0,0.051350115,0
C17orf62,12.55968649,9.482400998,12.61182843,13.97144163,16.22698933,22.05156821,15.05820337,15.91176146,19.51265724,22.97443291,11.55744928,13.58711405,14.44948797,12.1188201,8.730077102
C17orf66,0.05724716,0.055748653,0.154255758,0.438082609,0.482640891,0.051933238,0,0.483104229,0.152711742,0.101440785,0,0.097987313,0,0.053436458,0.099062022
C17orf67,1.792757983,1.745830593,1.76118879,1.768470035,2.414110673,2.591989992,1.403530895,2.468959279,2.241720333,2.779638859,2.453597297,1.006878084,1.221040429,3.033076746,1.696535597
C17orf70,16.78055707,15.88500594,9.811304741,10.44895028,10.86362074,9.909506829,13.58652156,14.93808871,12.70775416,17.41016683,5.258564515,6.290879694,6.116834123,5.549214458,4.890264017
C17orf72,0.761864442,0.706592202,0.488782727,0.24292294,1.325411317,0.098734998,0,0,0,0.032143049,0.03177752,0.031048764,0,0,0.062778604
C17orf74,0.068356372,0.06656707,0,0,0.064033415,0.062011247,0.570831648,0.320474438,0,0,0.059874321,0.058501219,0,0.063806177,0
C17orf75,2.976015414,3.712461328,4.241477973,4.328921475,4.907463375,3.949249117,5.750913993,4.912174563,4.70203109,3.399406221,3.554637707,4.883415723,4.444777214,2.112133439,3.064330074
C17orf76-AS1,82.55017649,81.44017679,107.704668,106.059721,104.875087,98.66716617,80.51729276,99.74805865,112.9434402,91.26391163,138.5094137,171.542328,158.4251657,113.6101947,205.0119563
C17orf77,0,0,0.040096315,0.042702211,0,0,0,0,0,0,0,0,0,0,0
